term_id,status_fitter_2025,status_twin_2025,status_mc_2025,status_fitter_campaign,status_twin_campaign,status_mc_campaign,physics,impl_fitter,impl_twin,impl_mc,param_keys,thesis_anchor,wiki_page,methods_page,evidence,registry_digest,status
hyperfine_pumping,carried,owed:saturated-arm,carried,carried,owed:saturated-arm,carried,"Optical pumping into the other F state mid-crossing, F-dependent through the cascade's branching fraction (0.223 to 0.372 across the four lines).",rb5s6s.fullmodel:saturation_companion_mhz,-,rb5s6s.cascade:BRANCHING_F,"pump_scale, peak, F_PER_LINE, BRANCHING_F",tab:tps_magnitudes. Section 7.2.3. Table 7.5,the-cascade-and-f-depletion.md,docs/methods/04_the_composite_model.md,joint_spectrum has no peak/F argument at all (rb5s6s/volume_line.py),9d2de0da6f05ce4c,DIAGNOSTIC
companion_pull_reduction,owed:companion-pull-reduction,owed:companion-pull-reduction,carried,owed:companion-pull-reduction,owed:companion-pull-reduction,carried,"Saturation and pumping reduce the ramp's mean pull by about two per cent, because the saturating rate under-weights the brightest (most-shifted) part of the beam.",-,-,scripts.run_kernel_mc:run_node,"ramp_mean, m_s, m_w",tab:tps_magnitudes. Table 7.5 caption,ac-stark-shift.md,docs/methods/03_the_ac_stark_ramp.md,scripts/run_kernel_mc.py's run_node reports both the saturated and weak-field ramp means (detail['ramp_mean']) but no fitter or twin construction reads the reduction back into the fitted pull,9d2de0da6f05ce4c,DIAGNOSTIC
axial_collection_window,owed:collection-window-in-fitter,carried,carried,owed:collection-window-in-fitter,carried,carried,"Beam divergence over the collected column: the local ramp edge falls as S(zeta)/(1+zeta^2) and the per-z weight as (1+zeta^2)^(1-n), mixing the transverse law axially at z_ratio = Z/z_R.",scripts.run_ultra_joint:window_profile,rb5s6s.volume_line:sample_atoms,scripts.run_kernel_mc:run_node,"z_ratio, half_window_m, collection_z_ratio_m2",tab:tps_magnitudes. Appendix A.9,the-beam-waist.md,docs/methods/03_the_ac_stark_ramp.md,"the window enters the Cell only as z_ratio derived from the Cell's own fixed (w0, M2) configuration, never as an independently fitted quantity (scripts/run_ultra_joint.py:Cell.__init__)",9d2de0da6f05ce4c,DIAGNOSTIC
bore_clipping,owed:bore-limited-recompute,owed:bore-limited-recompute,carried,owed:bore-limited-recompute,owed:bore-limited-recompute,carried,"The EOM's 3 mm bore clips the focused Gaussian: the on-axis focal intensity per recorded watt is reduced and the profile (side lobes, effective M2, the transit kernel, the ramp's own f(s)) is reshaped by diffraction at the aperture.",rb5s6s.lineshape:aperture_onaxis_factor_actual,-,rb5s6s.beam_field:ClippedBeam,"aperture_onaxis, w_act_m, EOM_APERTURE_RADIUS_M",tab:tps_magnitudes. Section 7.1.5. Section 7.2.9,beam-delivery-and-the-waist-ratio.md,docs/methods/03_the_ac_stark_ramp.md,the Cell applies only the ON-AXIS reading correction to S0. The profile's side lobes and kernel reshaping (aperture_spread_factor) never reach a committed fit (scripts/run_ultra_joint.py:Cell._per_trace),9d2de0da6f05ce4c,DIAGNOSTIC
retro_mismatch,owed:retro-waist,owed:retro-waist,n/a,owed:retro-waist,owed:retro-waist,n/a,"The returning (retro) beam is about 1.2 times wider than the forward beam, reducing the standing-wave fringe contrast and the Doppler-free rate's uniformity.",rb5s6s.fullmodel:fringe_survival_mc,-,-,"rho, e1_dot_e2",tab:tps_magnitudes. Appendix A,standing-waves.md,docs/methods/04_the_composite_model.md,rb5s6s/fullmodel.py:fringe_survival_mc is never called from full_profile or the Cell's own model(),9d2de0da6f05ce4c,DIAGNOSTIC
retro_offset,owed:retro-waist,owed:retro-waist,n/a,owed:retro-waist,owed:retro-waist,n/a,A returning beam displaced by about 0.2 w0 makes the local fringe contrast a function of transverse position rather than a single number.,rb5s6s.fullmodel:fringe_survival_mc,-,-,offset_m,tab:tps_magnitudes,standing-waves.md,docs/methods/04_the_composite_model.md,rb5s6s/fullmodel.py:fringe_survival_mc takes offset_m but no committed fit calls it,9d2de0da6f05ce4c,DIAGNOSTIC
fringe_tail,owed:fringe-resolved-skew,owed:fringe-resolved-skew,n/a,owed:fringe-resolved-skew,owed:fringe-resolved-skew,n/a,"Atoms that resolve the standing wave's lambda/2 fringes (rather than averaging over many of them) sample a suppressed third-cumulant skew, about 7 per cent at the archive's waist.",rb5s6s.fullmodel:fringe_survival_mc,-,-,"coherence_s, fringe_variance_weight",tab:tps_magnitudes. Table 7.3,standing-waves.md,docs/methods/11_the_window_limits.md,results/twin_term_census.csv: standing_wave_fringe_tail is off by default in the forecast approximation and absent from the twin of record and the MC alike,9d2de0da6f05ce4c,DIAGNOSTIC
retro_tilt,absorbed:sigma_laser_fwhm,owed:retro-tilt-in-twin,n/a,absorbed:sigma_laser_fwhm,owed:retro-tilt-in-twin,n/a,"A residual tilt between the forward and retro beams leaves an un-cancelled two-photon wave-vector 2k sin(theta/2), broadening without shifting: 0.47 MHz per mrad at 110 C.",rb5s6s.fullmodel:residual_doppler_fwhm_mhz,-,-,retro_tilt_rad,tab:tps_magnitudes. Table 7.5,standing-waves.md,docs/methods/04_the_composite_model.md,a Gaussian width at fixed intensity: 'the fitter puts it in sigma_laser and the waist does not move' (results/twin_term_census.csv: retro_tilt_residual_doppler),9d2de0da6f05ce4c,DIAGNOSTIC
beam_quality_m2,owed:collection-window-in-fitter,carried,carried,owed:collection-window-in-fitter,carried,carried,"M^2 enters exactly once, the Rayleigh range z_R = pi w0^2/(M^2 lambda), hence every axial-collection and beam-divergence quantity built from z_R.",scripts.run_ultra_joint:window_profile,rb5s6s.volume_line:GaussianBeam,scripts.run_kernel_mc:run_node,"m2, M2, collection_z_ratio_m2",Table 7.5,the-beam-waist.md,docs/methods/03_the_ac_stark_ramp.md,"M^2 enters the Cell only as a FIXED per-Cell configuration axis (spec['m2']), never as a parameter the fit itself identifies, matching the degeneracy with the waist the census records (results/twin_term_census.csv: beam_quality_m2)",9d2de0da6f05ce4c,DIAGNOSTIC
collisional_shift,absorbed:centre_mhz,absorbed:centre_mhz,n/a,absorbed:centre_mhz,absorbed:centre_mhz,n/a,"Collisions shift the line as well as broadening it. No construction here carries a collisional SHIFT term, so it rides in the free per-trace centre.",rb5s6s.linefit:fit_condition,rb5s6s.twin_volume:synthetic_traces,-,"centre_mhz, center_i",tab:tps_magnitudes. Section 7.2.7,self-broadening.md,docs/methods/04_the_composite_model.md,results/collisional_shift_bound.csv,9d2de0da6f05ce4c,DIAGNOSTIC
second_order_doppler,neglected:4e-4-MHz,owed:second-order-doppler,n/a,neglected:4e-4-MHz,owed:second-order-doppler,n/a,The relativistic (v/c)^2 time-dilation correction to the two-photon resonance condition.,-,-,-,-,tab:tps_magnitudes,doppler-free-two-photon.md,docs/methods/02_the_lineshape.md,"private/THE_ESTIMATOR_AND_THE_ALPHA_GAP.md section 3c: the second-order Doppler is 4e-4 MHz, under a tenth of the per-trace centre error, and a centre shift the free centre absorbs. The thesis quotes 0.39 kHz at 130 C, 7e-5 of the observed width",9d2de0da6f05ce4c,DIAGNOSTIC
blackbody,absorbed:centre_mhz,owed:blackbody-in-twin,n/a,absorbed:centre_mhz,owed:blackbody-in-twin,n/a,"Thermal (blackbody) radiation from the cell walls Stark-shifts the atom. A centre shift of order -0.16 kHz at 130 C, negligible against the MHz-scale width.",rb5s6s.fullmodel:full_profile,rb5s6s.forecast:build_world_trace,-,"t_bbr_k, shift_hz",tab:tps_magnitudes,blackbody-radiation.md,docs/methods/04_the_composite_model.md,"'a centre shift, absorbed exactly by the free per-trace centre' (rb5s6s/fullmodel.py UNFITTABLE['t_bbr_k'])",9d2de0da6f05ce4c,DIAGNOSTIC
two_photon_absorption,owed:drive-depletion,owed:drive-depletion,n/a,owed:drive-depletion,owed:drive-depletion,n/a,"The two-photon transition itself depletes the driving beam's power as it propagates, at about one part in a thousand per pass, affecting the forward/retro power ratio rho.",-,-,-,rho,tab:tps_magnitudes,multiphoton-transitions.md,docs/methods/04_the_composite_model.md,no forward-model term feeds an absorbed-power correction back into rho anywhere in this package,9d2de0da6f05ce4c,DIAGNOSTIC
kerr_lens,owed:kerr-lens-moments,owed:kerr-lens-moments,n/a,owed:kerr-lens-moments,owed:kerr-lens-moments,n/a,"The vapour's own intensity-dependent refractive index self-(de)focuses the drive beam, of order 1e-4 to 1e-3 rad on the axis.",-,-,-,-,tab:tps_magnitudes. Chapter 8 Table 8.6 paragraph,the-beam-waist.md,docs/methods/08_assumptions_and_outlook.md,the thesis's own chapter 8 names it 'owed in the forward model'. No module here computes a Kerr-lens term,9d2de0da6f05ce4c,DIAGNOSTIC
radiation_trapping,absorbed:amplitude,absorbed:amplitude,n/a,absorbed:amplitude,absorbed:amplitude,n/a,"Trapped D-line cascade photons rescale the collected amplitude by a constant across the scan and cannot reshape the line, because the detected photon's frequency does not depend on the 993 nm detuning. The per-trace free amplitude absorbs it. It matters only where an amplitude is read as a density, which scripts/run_amplitude_trapping.py measures.",-,rb5s6s.forecast:build_world_trace,-,halo_fraction,Table 7.5,photon-counting.md,docs/methods/04_the_composite_model.md,results/twin_term_census.csv: radiation_trapping ('the fitter parks it in beta_self and the collisional coefficient reads high'),9d2de0da6f05ce4c,DIAGNOSTIC
photoionisation,owed:photoionisation-channel,owed:photoionisation-channel,n/a,owed:photoionisation-channel,owed:photoionisation-channel,n/a,A one-photon ionisation channel from an excited intermediate state. The thesis's own argument is that no such channel is resonant here.,-,-,-,-,tab:tps_magnitudes,multiphoton-transitions.md,docs/methods/08_assumptions_and_outlook.md,no module in this repository computes or bounds it,9d2de0da6f05ce4c,DIAGNOSTIC
depletion_cascade,owed:saturated-arm,owed:saturated-arm,carried,owed:saturated-arm,owed:saturated-arm,owed:kernel-gate-node-coverage,"The 5P cascade's F-changing relaxation depletes the driven ground-state population as an atom crosses the beam, non-uniformly across transverse speed, widening the surviving transit kernel (about 12 per cent at three mean cycles).",rb5s6s.kernel_gate:depletion_factor,-,scripts.run_kernel_mc:run_node,"q, BRANCHING_F, depletion_factor, cycles",section 7.1.6,the-cascade-and-f-depletion.md,docs/methods/04_the_composite_model.md,"the Cell multiplies its transit width by a kernel-gate-validated factor rather than modelling depletion itself, and no validated node exists past the archive's own (w0, M2, rho, T, P) grid (scripts/run_ultra_joint.py:Cell._per_trace. scripts/run_kernel_mc.py:GRID_CONDITIONS)",9d2de0da6f05ce4c,DIAGNOSTIC
hyperfine_shares,owed:hyperfine-shares-untied,owed:hyperfine-shares-untied,carried,owed:hyperfine-shares-untied,owed:hyperfine-shares-untied,carried,"The four hyperfine lines' relative amplitudes: abundance times (2F+1)/G_iso, reweighted by each line's own cascade depletion.",-,rb5s6s.forecast:build_world_trace,rb5s6s.amplitudes:predicted_shares,"predicted_shares, shares_abs, shares_shift_abs",section 7.2.3,hyperfine-populations-and-branching.md,docs/methods/04_the_composite_model.md,every committed fit floats each trace's own amplitude freely. No fitter or twin construction ties amplitudes across peaks by predicted_shares,9d2de0da6f05ce4c,DIAGNOSTIC
quench_4D,owed:beta-envelope,owed:beta-envelope,owed:beta-envelope,owed:beta-envelope,owed:beta-envelope,owed:beta-envelope,"The inelastic exit channel 6S+5S -> 4D+5S (777 cm^-1 released), a collisional loss channel folded, unresolved, into the empirically fitted beta_self.",-,-,-,-,appendix C.4,self-broadening.md,docs/methods/08_assumptions_and_outlook.md,rb5s6s/vanderwaals.py's own text: 'the 6S+5S -> 4D+5S channel ... still unsized',9d2de0da6f05ce4c,DIAGNOSTIC
speed_dependent_collisional_shift,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,"A collisional shift that depends on the colliding atom's own speed, rather than the single Voigt every atom shares today (the speed-dependent shift check of 2026-09-25).",-,-,-,-,"Table 7.1, as a third-central-moment term (coordinator, 2026-09-25). chapter 7 section 7.2.1 still gives every atom the same Voigt",self-broadening.md,docs/methods/08_assumptions_and_outlook.md,named the same day this registry was built (2026-09-25). No code exists yet,9d2de0da6f05ce4c,DIAGNOSTIC
speed_dependent_collisional_width,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,owed:speed-dependent-collisions,"A collisional width that depends on the colliding atom's own speed, entangled with speed-selection by optical pumping (owner, 2026-09-25: the beta_self exponent).",-,-,-,-,none,self-broadening.md,docs/methods/08_assumptions_and_outlook.md,named the same day this registry was built (2026-09-25). No code exists yet,9d2de0da6f05ce4c,DIAGNOSTIC
resonant_exchange_by_line_share,owed:resonant-exchange-by-line,owed:resonant-exchange-by-line,owed:resonant-exchange-by-line,owed:resonant-exchange-by-line,owed:resonant-exchange-by-line,owed:resonant-exchange-by-line,The resonant-exchange contribution to self-broadening varies by which hyperfine line is driven (the thesis session's M1). Appendix C uses one branch-averaged coefficient (0.985) for all four.,-,-,-,-,appendix C uses the branch average 0.985,hyperfine-populations-and-branching.md,docs/methods/08_assumptions_and_outlook.md,named the same day this registry was built (2026-09-25). Appendix C's own branch-average is the only treatment on record,9d2de0da6f05ce4c,DIAGNOSTIC
pump_depletion,owed:pump-depletion-lineshape,owed:pump-depletion-lineshape,owed:pump-depletion-lineshape,owed:pump-depletion-lineshape,owed:pump-depletion-lineshape,owed:pump-depletion-lineshape,"Optical pumping's effect on the fitted LINE CENTRE specifically (F514, the thesis session's M2), distinct from the width-widening cascade_depletion already carries in the MC.",-,-,-,-,outline Table 7.1 'two photon absorption 1e-3' is the absorbed fraction only,the-cascade-and-f-depletion.md,docs/methods/08_assumptions_and_outlook.md,F514 names the effect. No producer applies a centre-specific pump-depletion correction anywhere in this repository,9d2de0da6f05ce4c,DIAGNOSTIC
population_lens,owed:population-lens,owed:population-lens,owed:population-lens,owed:population-lens,owed:population-lens,owed:population-lens,"A dispersive, population-grating lensing effect from the driven population's own spatial structure (the thesis session's M2), about half the size of the dispersive Kerr peak at the archive's own power and waist.",-,-,-,-,none,the-beam-waist.md,docs/methods/08_assumptions_and_outlook.md,named the same day this registry was built (2026-09-25). No code exists yet,9d2de0da6f05ce4c,DIAGNOSTIC
